label,label_noisy
19,2
29,29
0,0
11,38
1,1
86,86
90,90
28,28
23,23
31,31
39,39
96,96
82,82
17,17
71,71
39,39
8,8
97,97
80,80
71,71
74,74
59,59
70,12
87,87
59,59
84,84
64,64
52,52
42,64
64,64
8,8
17,17
47,47
65,65
21,21
22,22
81,92
11,29
24,24
84,84
78,19
45,45
49,49
97,97
56,44
76,76
11,11
90,0
89,89
78,78
73,73
14,14
87,87
9,9
71,71
6,6
47,47
20,67
98,98
47,47
36,95
55,55
72,72
43,43
51,51
35,35
83,83
33,33
27,27
53,5
92,92
50,50
15,15
89,89
36,36
18,18
89,27
46,46
33,15
42,42
39,18
64,64
75,75
38,38
23,23
42,42
66,66
77,77
49,49
18,18
46,46
15,15
35,35
69,69
95,95
83,35
75,75
99,1
73,73
93,93
55,55
39,39
4,4
97,89
61,61
93,40
51,51
69,69
56,56
84,84
59,59
64,64
94,94
4,4
11,11
33,33
68,68
38,38
20,61
33,7
34,34
32,32
46,31
53,53
88,88
67,67
70,70
64,64
53,81
64,64
8,91
96,96
87,87
30,30
20,20
30,30
66,66
19,19
76,76
87,87
52,52
62,62
35,35
63,63
40,40
4,4
99,97
63,63
74,74
53,53
26,26
95,95
48,1
27,27
33,91
29,29
39,39
79,79
32,32
46,46
64,31
28,28
85,85
32,32
82,82
78,57
39,39
54,54
28,28
66,66
65,65
72,72
21,21
64,64
62,62
72,72
0,0
44,44
7,7
12,12
19,54
11,11
31,31
61,61
79,79
45,45
81,81
79,79
98,98
43,84
46,63
67,67
80,80
68,8
74,74
48,48
81,81
94,7
86,95
69,69
39,15
73,54
2,4
46,46
49,49
63,63
43,43
14,14
49,49
68,68
65,87
41,75
37,37
45,45
36,12
21,63
77,77
37,10
39,39
8,8
9,9
62,62
86,86
39,39
19,19
54,64
39,39
28,28
11,11
89,89
90,90
90,90
79,79
66,66
81,81
21,21
79,79
40,40
29,29
22,22
13,13
25,25
11,7
38,38
10,22
96,96
54,54
65,65
39,39
40,40
42,42
48,48
48,48
51,61
11,54
23,23
23,71
89,89
52,52
46,46
2,2
95,95
43,43
86,86
34,34
66,66
18,18
46,46
66,66
56,56
57,57
1,1
44,44
11,11
82,99
23,23
90,63
56,56
19,19
68,68
