label,label_noisy
19,19
29,30
0,96
11,29
1,1
86,86
90,62
28,28
23,23
31,31
39,54
96,59
82,82
17,11
71,30
39,39
8,28
97,21
80,80
71,71
74,33
59,71
70,70
87,17
59,69
84,85
64,50
52,68
42,42
64,64
8,8
17,21
47,44
65,81
21,18
22,98
81,81
11,57
24,19
84,61
78,57
45,45
49,49
97,97
56,56
76,99
11,18
90,88
89,31
78,89
73,73
14,19
87,56
9,9
71,71
6,6
47,69
20,59
98,86
47,93
36,9
55,90
72,15
43,88
51,48
35,35
83,60
33,33
27,27
53,10
92,92
50,72
15,15
89,89
36,80
18,18
89,89
46,35
33,33
42,42
39,53
64,51
75,73
38,62
23,23
42,96
66,66
77,77
49,18
18,55
46,81
15,70
35,91
69,89
95,85
83,83
75,75
99,98
73,72
93,93
55,55
39,39
4,56
97,97
61,61
93,93
51,51
69,62
56,57
84,84
59,66
64,64
94,3
4,46
11,58
33,71
68,68
38,62
20,66
33,33
34,36
32,34
46,46
53,57
88,12
67,67
70,70
64,64
53,53
64,64
8,79
96,96
87,81
30,50
20,97
30,37
66,85
19,19
76,76
87,41
52,71
62,62
35,92
63,78
40,61
4,21
99,43
63,34
74,85
53,67
26,26
95,95
48,4
27,50
33,33
29,29
39,97
79,79
32,20
46,46
64,64
28,47
85,20
32,39
82,20
78,57
39,61
54,54
28,28
66,73
65,65
72,31
21,50
64,49
62,62
72,72
0,11
44,44
7,0
12,21
19,61
11,10
31,10
61,21
79,79
45,59
81,72
79,67
98,14
43,79
46,20
67,98
80,80
68,68
74,46
48,7
81,12
94,94
86,11
69,69
39,32
73,73
2,2
46,48
49,49
63,63
43,48
14,14
49,49
68,48
65,65
41,66
37,89
45,45
36,36
21,21
77,39
37,75
39,28
8,8
9,9
62,48
86,84
39,45
19,19
54,54
39,94
28,28
11,11
89,48
90,73
90,22
79,27
66,66
81,55
21,21
79,52
40,94
29,29
22,10
13,13
25,67
11,11
38,76
10,10
96,96
54,54
65,65
39,39
40,40
42,13
48,4
48,79
51,42
11,12
23,39
23,28
89,53
52,52
46,46
2,2
95,95
43,43
86,8
34,35
66,66
18,36
46,89
66,71
56,56
57,72
1,99
44,92
11,11
82,11
23,23
90,90
56,56
19,81
68,68
66,53
28,80
1,13
57,50
67,67
5,5
13,13
78,58
6,34
84,92
7,14
41,41
65,55
80,80
12,63
50,52
63,63
26,92
8,8
53,22
60,60
99,76
97,97
85,28
0,0
78,39
31,31
10,10
2,56
7,7
43,65
83,83
97,24
91,78
82,82
28,63
42,42
0,47
82,82
